threshold,bin,lo,hi,n,n_flagged,rate
f1_max,D1,0.0661,0.2762,794,102,0.1285
f1_max,D2,0.2762,0.3419,793,69,0.087
f1_max,D3,0.3419,0.3959,793,56,0.0706
f1_max,D4,0.3959,0.4453,793,65,0.082
f1_max,D5,0.4453,0.4936,793,75,0.0946
f1_max,D6,0.4936,0.5426,793,75,0.0946
f1_max,D7,0.5426,0.5967,793,93,0.1173
f1_max,D8,0.5967,0.6591,793,95,0.1198
f1_max,D9,0.6591,0.7348,793,155,0.1955
f1_max,D10,0.7348,0.9687,794,274,0.3451
fpr_1pct,D1,0.0661,0.2762,794,1,0.0013
fpr_1pct,D2,0.2762,0.3419,793,1,0.0013
fpr_1pct,D3,0.3419,0.3959,793,1,0.0013
fpr_1pct,D4,0.3959,0.4453,793,0,0.0
fpr_1pct,D5,0.4453,0.4936,793,1,0.0013
fpr_1pct,D6,0.4936,0.5426,793,3,0.0038
fpr_1pct,D7,0.5426,0.5967,793,1,0.0013
fpr_1pct,D8,0.5967,0.6591,793,7,0.0088
fpr_1pct,D9,0.6591,0.7348,793,16,0.0202
fpr_1pct,D10,0.7348,0.9687,794,46,0.0579
