population,setting,n,recall_or_fpr_strict,recall_or_fpr_f1max,mean_score,mean_index,fires_dropped
cheater,none,396,0.1313,0.4394,-0.7156,0.5892,0.0
cheater,smooth_0.7,396,0.0152,0.654,-0.7135,0.5257,0.0
cheater,smooth_0.5,396,0.0126,0.6919,-0.7187,0.5463,0.0
cheater,smooth_0.3,396,0.0051,0.9141,-0.6464,0.5925,0.0
cheater,jitter_0.05,396,0.1768,0.6944,-0.5078,0.6249,0.0
cheater,jitter_0.10,396,0.0985,0.8737,-0.4969,0.5999,0.0
cheater,jitter_0.20,396,0.0859,0.9949,-0.3833,0.5011,0.0
cheater,delay_1,396,0.1313,0.447,-0.7441,0.5788,0.0033
cheater,delay_2,396,0.1111,0.4495,-0.7317,0.5584,0.0054
cheater,delay_4,396,0.1061,0.4773,-0.7158,0.5011,0.0174
legit,none,1984,0.0131,0.1174,-1.0464,0.5076,0.0
legit,smooth_0.5,1984,0.002,0.5403,-0.8037,0.4888,0.0
legit,jitter_0.10,1984,0.0141,0.754,-0.6705,0.5304,0.0
legit,delay_2,1984,0.0171,0.1648,-1.0085,0.4955,0.0052
