,mean_abs_shap
frac_shots_locked,0.032417194490413366
zcr_dpitch,0.02100298271325782
speed_iqr,0.016005913956532884
speed_at_shot_std,0.011899047862300692
speed_at_shot_mean,0.011661586095328575
shot_rate,0.010366690308728128
settle_ratio,0.009512042893512348
frac_shots_medspeed,0.00906472157272998
overshoot_mean,0.007687150627293686
jerk_absmean,0.007601497073234492
speed_max,0.0069219868789549156
xshot_speed_cv,0.006254852399544652
speed_p90,0.006231767034153776
speed_pre_shot_mean,0.0053269354890449335
speed_std,0.005263946741683381
yaw_pitch_ratio,0.005085857964685227
frac_med,0.004807874790518726
jerk_absstd,0.004795021201447249
speed_median,0.004182070286057502
zcr_dyaw,0.004129149384915521
prefire_peak_mean,0.003873917745800194
frac_slow,0.0037746795747344115
pitch_speed_mean,0.003644530687397925
pitch_abs_mean,0.0035139705140891666
speed_post_shot_mean,0.003452385523901303
yaw_range_mean,0.003043685417320517
pitch_abs_std,0.0030078472597257207
frac_still,0.00293369317678141
spec_entropy,0.0028200417252696565
xeng_speed_cv,0.0024013278031573995
xeng_speed_std,0.002289428065812004
speed_p99,0.0022386531679719317
yaw_speed_mean,0.002056702911705891
pitch_abs_p95,0.0020504656902141406
