model,strategy,fold,fit_seconds,roc_auc,pr_auc
logreg,none,0,0.02,0.6984628656731846,0.41099063916583356
logreg,none,1,0.01,0.7373454268613876,0.4509425507345604
logreg,none,2,0.01,0.7191514076242834,0.4249388844761485
logreg,none,3,0.02,0.7051268791197425,0.38798249028470977
logreg,none,4,0.02,0.7119432256216659,0.42007860912278744
logreg,class_weight,0,0.02,0.6993911493025946,0.40548090685510885
logreg,class_weight,1,0.02,0.7381544449281326,0.439467488916307
logreg,class_weight,2,0.02,0.7194815837314674,0.4164488598210193
logreg,class_weight,3,0.02,0.7077901671168466,0.38260286304502383
logreg,class_weight,4,0.02,0.711615038527176,0.40982053791515416
logreg,smote,0,0.05,0.6956303085598882,0.40301518518387264
logreg,smote,1,0.04,0.7355524679026554,0.4401709070101976
logreg,smote,2,0.04,0.7116707308826046,0.40604092475860987
logreg,smote,3,0.04,0.7056838026740286,0.3842281000461648
logreg,smote,4,0.05,0.7133693477231772,0.4197649841347372
logreg,smote_cw,0,0.04,0.6956303085598882,0.40301518518387264
logreg,smote_cw,1,0.04,0.7355524679026554,0.4401709070101976
logreg,smote_cw,2,0.04,0.7116707308826046,0.40604092475860987
logreg,smote_cw,3,0.04,0.7056838026740286,0.3842281000461648
logreg,smote_cw,4,0.05,0.7133693477231772,0.4197649841347372
xgb,none,0,0.47,0.7180144669127513,0.4029259886506538
xgb,none,1,0.42,0.7545812884258734,0.4658780405308468
xgb,none,2,0.46,0.7167665814043225,0.4278190485639382
xgb,none,3,0.42,0.728644965212168,0.38880757297374885
xgb,none,4,0.46,0.7332614636746612,0.41165650700227674
xgb,class_weight,0,0.48,0.7055174237048256,0.38060265559076983
xgb,class_weight,1,0.48,0.7416051952079097,0.4363557576465129
xgb,class_weight,2,0.51,0.7256972483998393,0.4249599519970694
xgb,class_weight,3,0.48,0.7178764504875069,0.4026644085073541
xgb,class_weight,4,0.48,0.7453248256630374,0.42975051105922063
xgb,smote,0,0.54,0.682105593753665,0.3561433152422143
xgb,smote,1,0.54,0.7278757411857779,0.438237595364823
xgb,smote,2,0.55,0.7076946945075403,0.38812596550593736
xgb,smote,3,0.52,0.688268007526424,0.3628573807066249
xgb,smote,4,0.56,0.7069348916584786,0.3922941844577068
svm,none,0,0.42,0.7141383361261352,0.41777107850188133
svm,none,1,0.42,0.7516612698999561,0.4857638444480827
svm,none,2,0.43,0.7184512751560381,0.4292351574280564
svm,none,3,0.42,0.7302262303038018,0.4079662463005047
svm,none,4,0.42,0.7254466328004106,0.4176637657490715
svm,class_weight,0,0.71,0.7274702382727165,0.40631305542600615
svm,class_weight,1,0.72,0.7655755855442187,0.4343739945619578
svm,class_weight,2,0.71,0.7380569732796035,0.4347381140604579
svm,class_weight,3,0.71,0.7497941371861836,0.43345359399442396
svm,class_weight,4,0.7,0.7458200898238133,0.4142884233955185
svm,smote,0,1.96,0.6893748297981033,0.3389137253635195
svm,smote,1,1.96,0.7182211938880374,0.3779879510790792
svm,smote,2,1.82,0.6956472446207151,0.35729862907656135
svm,smote,3,2.01,0.719374177045998,0.397888443421211
svm,smote,4,2.01,0.7208002991475091,0.38406838122958403
svm,smote_cw,0,1.86,0.6893748297981033,0.3389137253635195
svm,smote_cw,1,1.93,0.7182211938880374,0.3779879510790792
svm,smote_cw,2,1.81,0.6956472446207151,0.35729862907656135
svm,smote_cw,3,1.89,0.719374177045998,0.397888443421211
svm,smote_cw,4,1.94,0.7208002991475091,0.38406838122958403
rf,none,0,6.75,0.7275745956400484,0.41235643166068636
rf,none,1,6.8,0.7385132354958167,0.4688965881891544
rf,none,2,6.82,0.7361813343092756,0.4217253600296459
rf,none,3,7.04,0.74013449703836,0.4103476872879438
rf,none,4,6.98,0.714342969436831,0.4160181934236469
rf,class_weight,0,4.94,0.7155297676905614,0.367183490792447
rf,class_weight,1,5.08,0.7564984823457149,0.443548371328398
rf,class_weight,2,5.08,0.7266917547467788,0.40393154948928334
rf,class_weight,3,5.1,0.7460329141820583,0.4151541981984955
rf,class_weight,4,5.09,0.7262074301558192,0.4129064876222241
rf,smote,0,9.2,0.7041160533435107,0.3433688465828678
rf,smote,1,9.19,0.7396502338598909,0.42233446784934237
rf,smote,2,9.23,0.7110551314538489,0.3724173514722259
rf,smote,3,9.27,0.7189176986327527,0.3881185430166441
rf,smote,4,9.19,0.7147994478500762,0.3892111944898654
rf,smote_cw,0,9.09,0.7041160533435107,0.3433688465828678
rf,smote_cw,1,9.13,0.7396502338598909,0.42233446784934237
rf,smote_cw,2,9.07,0.7110551314538489,0.3724173514722259
rf,smote_cw,3,9.32,0.7189176986327527,0.3881185430166441
rf,smote_cw,4,9.24,0.7147994478500762,0.3892111944898654
