feat_dup_group,size,n_cheater,n_legit,raw_identical,mixed_label,action,rows
0,2,1,1,True,True,drop_all,386;6328
1,2,1,1,True,True,drop_all,387;6329
2,2,1,1,True,True,drop_all,422;6330
3,2,1,1,True,True,drop_all,423;6331
4,2,1,1,True,True,drop_all,443;6384
5,2,1,1,True,True,drop_all,625;6371
6,2,1,1,True,True,drop_all,626;6372
7,2,2,0,True,False,keep_first,818;820
8,2,2,0,True,False,keep_first,819;821
9,2,1,1,True,True,drop_all,897;6312
10,2,1,1,True,True,drop_all,977;6300
11,2,2,0,True,False,keep_first,1084;1085
12,2,2,0,True,False,keep_first,1097;1098
13,2,1,1,True,True,drop_all,1291;6332
14,2,1,1,True,True,drop_all,1292;6333
15,2,1,1,True,True,drop_all,1493;6315
16,2,1,1,True,True,drop_all,1494;6316
17,2,1,1,True,True,drop_all,1629;6311
18,2,1,1,True,True,drop_all,1872;6345
19,2,0,2,True,False,keep_first,2231;2232
20,2,0,2,True,False,keep_first,2494;2497
21,2,0,2,True,False,keep_first,2529;2531
22,2,0,2,True,False,keep_first,2530;2532
23,2,0,2,True,False,keep_first,2559;2563
24,2,0,2,True,False,keep_first,2662;2664
25,2,0,2,True,False,keep_first,2663;2665
26,2,0,2,True,False,keep_first,2670;2672
27,2,0,2,True,False,keep_first,2671;2673
28,2,0,2,True,False,keep_first,2912;2917
29,2,0,2,True,False,keep_first,2913;2918
30,2,0,2,True,False,keep_first,3341;3342
31,2,0,2,True,False,keep_first,3810;3811
32,2,0,2,True,False,keep_first,4527;4528
33,2,0,2,True,False,keep_first,4638;4639
34,2,0,2,True,False,keep_first,4652;4653
35,2,0,2,True,False,keep_first,4687;4689
36,2,0,2,True,False,keep_first,4688;4690
37,2,0,2,True,False,keep_first,5721;5722
38,2,0,2,True,False,keep_first,6243;6248
39,2,0,2,True,False,keep_first,6244;6249
40,2,0,2,True,False,keep_first,6620;6622
41,2,0,2,True,False,keep_first,6621;6623
42,2,0,2,True,False,keep_first,6678;6679
43,2,0,2,True,False,keep_first,6708;6713
44,2,0,2,True,False,keep_first,6709;6714
45,2,0,2,True,False,keep_first,6940;6941
46,2,0,2,True,False,keep_first,7014;7015
47,2,0,2,True,False,keep_first,7025;7026
48,2,0,2,True,False,keep_first,7088;7089
49,2,0,2,True,False,keep_first,7236;7237
50,3,0,3,True,False,keep_first,7243;7245;7247
51,2,0,2,True,False,keep_first,7244;7246
52,2,0,2,True,False,keep_first,7364;7365
53,2,0,2,True,False,keep_first,7994;7995
54,3,0,3,True,False,keep_first,8204;8205;8206
55,2,0,2,True,False,keep_first,8223;8224
56,2,0,2,True,False,keep_first,8539;8540
57,2,0,2,True,False,keep_first,8548;8549
58,2,0,2,True,False,keep_first,8637;8642
59,2,0,2,True,False,keep_first,8638;8643
60,2,0,2,True,False,keep_first,8719;8720
61,2,0,2,True,False,keep_first,9347;9349
62,2,0,2,True,False,keep_first,9348;9350
63,2,0,2,True,False,keep_first,9366;9369
64,2,0,2,True,False,keep_first,9698;9699
65,2,0,2,True,False,keep_first,9719;9721
66,2,0,2,True,False,keep_first,9720;9722
67,2,0,2,True,False,keep_first,9882;9883
68,2,0,2,True,False,keep_first,10088;10089
69,2,0,2,True,False,keep_first,10090;10091
70,2,0,2,True,False,keep_first,10240;10241
71,2,0,2,True,False,keep_first,10304;10305
72,2,0,2,True,False,keep_first,10576;10577
73,2,0,2,True,False,keep_first,10752;10755
74,2,0,2,True,False,keep_first,10811;10813
75,2,0,2,True,False,keep_first,10812;10814
76,2,0,2,True,False,keep_first,10825;10827
77,2,0,2,True,False,keep_first,10826;10828
78,2,0,2,True,False,keep_first,10860;10861
79,4,0,4,True,False,keep_first,10929;10930;10931;10932
80,2,0,2,True,False,keep_first,11257;11258
81,2,0,2,True,False,keep_first,11328;11329
82,2,0,2,True,False,keep_first,11444;11449
83,2,0,2,True,False,keep_first,11445;11450
